grid size, CPU time, GPU time, GPU2 time
5x5,16.1651,5.3478,5.3702
6x6,19.7417,5.423,11.9847
7x7,27.302,6.2583,5.8876
8x8,44.5005,6.512,13.6552
9x9,46.7164,8.5088,6.6239
10x10,69.0527,7.5678,12.9529
11x11,75.0714,9.0271,8.1426
12x12,104.5633,12.8812,17.69
13x13,112.3357,11.2861,16.5948
14x14,122.5501,13.3491,11.5308
15x15,177.3721,20.8196,20.3876
16x16,241.063,21.2409,18.8371
17x17,272.1027,21.9485,25.5916
18x18,245.9007,22.8612,41.7354
19x19,296.72,23.0349,29.4335
20x20,264.2057,32.7883,31.1787
21x21,269.1211,28.4074,31.0032
22x22,341.7243,29.2043,21.484
23x23,296.7848,31.9919,29.5484
24x24,347.4531,28.5165,36.7662
25x25,344.386,29.6904,40.3473
26x26,371.9213,33.5873,32.5169
27x27,409.2446,43.5949,37.0324
28x28,465.5222,42.7469,28.2895
29x29,537.323,59.1644,41.6103
30x30,523.9799,46.4865,37.7812
31x31,607.6896,58.1286,61.568
32x32,565.7674,43.0766,51.4865
33x33,606.7565,52.7948,59.6768
34x34,652.5666,58.4766,62.6749
35x35,685.6211,56.7076,51.0381
36x36,741.4097,66.8445,61.358
37x37,828.5251,78.964,64.1709
38x38,853.4153,82.0583,100.5066
39x39,903.3477,71.1054,84.1623
40x40,979.9495,65.2261,88.2573
41x41,931.9306,100.3564,101.2648
42x42,967.71,72.0338,80.6628
43x43,1032.5471,120.2883,90.3539
44x44,1079.8232,80.8156,116.8344
45x45,1126.8399,100.2352,99.1575
46x46,1165.272,92.5805,105.8569
47x47,1219.3001,93.8504,137.3938
48x48,1274.6475,102.897,153.5025
49x49,1345.7,159.313,142.4927
50x50,1423.66,106.8703,151.7946
